Rank,"Song Title",Streams,Daily,"Streams Vortag","Diff. Streams","Daily Vortag","Diff. Daily"
﻿,"Song Title",Streams,Daily,,,,
36,Common,48.079.602,13.814,,,,
37,"Back To Life",41.209.766,22.484,,,,
38,Stardust,38.159.688,31.023,,,,
39,Outside,33.739.439,8.023,,,,
40,"What I Am",33.441.995,16.775,,,,
41,"Sour Diesel",32.926.817,4.169,,,,
42,lUcOzAdE,32.803.772,4.710,,,,
43,"SHE DON'T LOVE ME",32.750.211,5.355,,,,
44,"* To Begin Again",31.578.072,4.966,,,,
45,BLUE,29.929.735,3.979,,,,
46,BRIGHT,29.747.407,4.180,,,,
47,Tonight,28.556.580,8.282,,,,
48,tRuTh,27.460.122,4.164,,,,
49,"PILLOWTALK - the living room session",27.349.194,907,,,,
50,Alienated,26.307.960,16.500,,,,
51,"MiNd Of MiNdd (Intro)",25.789.176,3.712,,,,
52,"Flight Of The Stars",25.733.818,5.850,,,,
53,Natural,25.458.455,4.535,,,,
54,"Dusk Till Dawn (feat. Sia) - John ""J-C"" Carr Mix",24.890.202,605,,,,
55,"INTERMISSION: fLoWer",23.364.624,3.295,,,,
56,Connexion,22.968.422,2.883,,,,
57,Unfuckwitable,22.379.096,6.177,,,,
58,"When Love's Around (feat. Syd)",22.258.825,3.959,,,,
59,Calamity,21.870.286,3.465,,,,
60,"River Road",21.700.188,3.564,,,,
61,"* Tu hai kahan (feat. ZAYN)",21.236.812,3.323,,,,
62,"I Don't Mind",20.889.457,4.564,,,,
63,"Talk To Me",20.738.338,4.324,,,,
64,Insomnia,20.196.793,3.973,,,,
65,"PILLOWTALK REMIX (feat. Lil Wayne)",20.171.957,1.236,,,,
66,"Un mundo ideal (Versión Créditos)",20.132.107,4.174,,,,
67,"If I Got You",19.922.620,4.392,,,,
68,"Windowsill (feat. Devlin)",19.881.951,3.277,,,,
69,Imprint,19.827.833,4.104,,,,
70,Satisfaction,19.009.161,3.103,,,,
71,Scripted,18.764.164,5.355,,,,
72,wHo,17.515.770,3.116,,,,
73,"Stand Still",17.259.893,3.461,,,,
74,"You Wish You Knew",15.205.777,2.949,,,,
75,"All That",14.850.518,3.299,,,,
76,"LIKE I WOULD - The White Panda Remix",14.599.424,483,,,,
77,"Lied To",13.900.448,17.699,,,,
78,"Icarus Interlude",13.442.290,2.604,,,,
79,"Good Guy",13.177.383,2.570,,,,
80,* Freedun,13.115.749,792,,,,
81,"Dusk Till Dawn (feat. Sia) - Luca Lush Remix",12.510.846,322,,,,
82,"Fresh Air",11.077.293,2.127,,,,
83,Dreamin,10.388.147,8.714,,,,
84,"You Can't Hide / You Can't Hide From Yourself (Touch of Class GMF Remix)",9.952.366,470,,,,
85,"Dusk Till Dawn (feat. Sia)",9.615.840,3.811,,,,
86,"False Starts",8.837.482,13.279,,,,
87,"My Woman",7.953.931,6.358,,,,
88,"* Trampoline - Joel Corry Remix",7.948.215,423,,,,
89,"Die For Me",7.581.558,338.108,,,,
90,"Birds On A Cloud",7.196.663,8.439,,,,
91,Grateful,6.859.867,5.199,,,,
92,* Angel,6.711.137,1.151,,,,
93,"How It Feels",6.672.626,5.116,,,,
94,"Something In The Water",6.529.123,5.709,,,,
95,"* Flames - Steve Aoki Remix",6.083.296,456,,,,
96,"Shoot At Will",5.710.452,4.796,,,,
